CLI Config ID,Release Config ID,Firmware Type,Title,Flash Vendor,Flash Geometry,Flash Type,Flash Part Number,Package Type,Package Count,Package Density,Package Die Count,Raw Capacity,User Capacity,512 LBA Count,512 Plus DIF LBA Count,520 LBA Count,524 LBA Count,4096 LBA Count,4096 Plus DIF LBA Count,Non 512 Sector Size,RAISE ON,Version Demo,Version Release,Topology ID,SATA Speed,Write IOPs,Firmware Fuse(?),Industrial Features,CLI Build ID,Release Build ID,Valid Flag,Release Status,Firmware Worksheet,Parent Folder
C27942,27942,SF-2281-Gold-Avant-Opal,SF-2281-Gold-Avant-Opal 120GB Toshiba19 MLC BGA 4xTH58TEG8D2JBA8C,Toshiba,19,MLC,TH58TEG8D2JBA8C,BGA,4,256,5260369,128,120,234441648,0,0,0,0,0,0,True,MP3,TBD,2Q-2C-1D-4L,6,0,64512,0,PP-C02165,PP-R02165,1,External,Opal-Avant,SF-2281_Board
C27943,27943,SF-2281-Gold-Avant-Opal,SF-2281-Gold-Avant-Opal 128GB Toshiba19 MLC Type C BGA 8xTH58TEG7DDJBA4C (RAISE OFF),Toshiba,19,MLC,TH58TEG7DDJBA4C,BGA,8,128,5260356,128,128,250069680,0,0,0,0,0,0,False,TBD,TBD,2Q-2C-1D-4L,6,0,64512,0,PP-C02145,PP-R02145,1,External,Opal-Avant,SF-2281_Board
C27944,27944,SF-2281-Gold-Avant-Opal,SF-2281-Gold-Avant-Opal 240GB Toshiba19 MLC BGA 8xTH58TEG8D2JBA8C,Toshiba,19,MLC,TH58TEG8D2JBA8C,BGA,8,256,5260369,256,240,468862128,0,0,0,0,0,0,True,MP3,TBD,2Q-4C-1D-4L,6,0,64512,0,PP-C02148,PP-R02148,1,External,Opal-Avant,SF-2281_Board
C27945,27945,SF-2281-Gold-Avant-Opal,SF-2281-Gold-Avant-Opal 240GB Toshiba19 MLC Type C BGA 8xTH58TEG8DDJBA8C,Toshiba,19,MLC,TH58TEG8DDJBA8C ,BGA,8,256,5260369,256,240,468862128,0,0,0,0,0,0,True,TBD,TBD,2Q-4C-1D-4L,6,0,64512,0,PP-C02149,PP-R02149,1,External,Opal-Avant,SF-2281_Board
C27946,27946,SF-2281-Gold-Avant-Opal,SF-2281-Gold-Avant-Opal 240GB Toshiba19 MLC BGA 16xTH58TEG7D2JBA4C,Toshiba,19,MLC,TH58TEG7D2JBA4C,BGA,16,128,5260356,256,240,468862128,0,0,0,0,0,0,True,MP3,TBD,2Q-4C-1D-4L-S,6,0,64512,0,PP-C02150,PP-R02150,1,External,Opal-Avant,SF-2281_Board
C27947,27947,SF-2281-Gold-Avant-Opal,SF-2281-Gold-Avant-Opal 240GB Toshiba19 MLC BGA 4xTH58TEG9DDJBA89,Toshiba,19,MLC,TH58TEG9DDJBA89,BGA,4,512,5260344,256,240,468862128,0,0,0,0,0,0,True,TBD,TBD,2Q-2C-2D-4L,6,0,64512,0,PP-C02158,PP-R02158,1,External,Opal-Avant,SF-2281_Board
C27948,27948,SF-2281-Gold-Avant-Opal,SF-2281-Gold-Avant-Opal 360GB Toshiba19 MLC BGA 12xTH58TEG8D2JBA8C,Toshiba,19,MLC,TH58TEG8D2JBA8C,BGA,12,256,5260369,384,360,703282608,0,0,0,0,0,0,True,MP3,TBD,2Q-8C-1D-3L,6,0,64512,0,PP-C02159,PP-R02159,1,External,Opal-Avant,SF-2281_Board
C27949,27949,SF-2281-Gold-Avant-Opal,SF-2281-Gold-Avant-Opal 360GB Toshiba19 MLC BGA 6xTH58TEG9DDJBA89,Toshiba,19,MLC,TH58TEG9DDJBA89,BGA,6,512,5260344,384,360,703282608,0,0,0,0,0,0,True,TBD,TBD,2Q-4C-2D-3L,6,0,64512,0,PP-C02153,PP-R02153,1,External,Opal-Avant,SF-2281_Board
C27950,27950,SF-2281-Gold-Avant-Opal,SF-2281-Gold-Avant-Opal 480GB Toshiba19 MLC BGA 16xTH58TEG8D2JBA8C,Toshiba,19,MLC,TH58TEG8D2JBA8C,BGA,16,256,5260369,512,480,937703088,0,0,0,0,0,0,True,MP3,TBD,2Q-8C-1D-4L,6,0,64512,0,PP-C02154,PP-R02154,1,External,Opal-Avant,SF-2281_Board
C27951,27951,SF-2281-Gold-Avant-Opal,SF-2281-Gold-Avant-Opal 480GB Toshiba19 MLC BGA 8xTH58TEG9DDJBA89,Toshiba,19,MLC,TH58TEG9D2JBA89,BGA,8,512,5260344,512,480,937703088,0,0,0,0,0,0,True,MP3,TBD,2Q-4C-2D-4L,6,0,64512,0,PP-C02155,PP-R02155,1,External,Opal-Avant,SF-2281_Board
